-90.00 -7.64428 -10.5899
-89.00 -8.15822 -10.269
-88.00 -8.6594 -9.9385
-87.00 -9.1467 -9.6083
-86.00 -9.62916 -9.25842
-85.00 -10.1061 -8.90886
-84.00 -10.5413 -8.44369
-83.00 -10.9683 -8.18311
-82.00 -11.3855 -8.07234
-81.00 -11.7771 -7.89822
-80.00 -12.1012 -7.55412
-79.00 -12.4223 -7.22676
-78.00 -12.6667 -6.81715
-77.00 -12.9613 -6.4951
-76.00 -13.1925 -6.10152
-75.00 -13.3488 -5.63356
-74.00 -13.5277 -5.21326
-73.00 -13.7706 -4.85916
-72.00 -13.9614 -4.47735
-71.00 -14.1459 -4.09721
-70.00 -14.3221 -3.718
-69.00 -14.4842 -3.33533
-68.00 -14.5385 -2.8614
-67.00 -14.4283 -2.28732
-66.00 -14.3777 -1.78961
-65.00 -14.3745 -1.3481
-64.00 -14.3765 -0.93948
-63.00 -14.3783 -0.53928
-62.00 -14.2832 -0.09947
-61.00 -14.0779 0.38553
-60.00 -13.815 0.86027
-59.00 -13.6473 1.26719
-58.00 -13.4743 1.64757
-57.00 -13.3644 1.96539
-56.00 -13.2532 2.28146
-55.00 -13.0189 2.61559
-54.00 -12.7289 2.95339
-53.00 -12.3635 3.29378
-52.00 -12.0081 3.60691
-51.00 -11.7758 3.83817
-50.00 -11.3072 4.13568
-49.00 -10.9706 4.36664
-48.00 -10.5716 4.58207
-47.00 -10.1631 4.74684
-46.00 -9.83243 4.83124
-45.00 -9.39244 4.92492
-44.00 -9.02462 4.95923
-43.00 -8.6419 4.98667
-42.00 -8.21472 5.09208
-41.00 -7.71403 5.19189
-40.00 -7.29306 5.2093
-39.00 -6.99779 5.1366
-38.00 -6.81177 5.08462
-37.00 -6.5705 5.01169
-36.00 -6.40817 4.92688
-35.00 -6.23545 4.83252
-34.00 -5.93923 4.67249
-33.00 -5.69083 4.54111
-32.00 -5.53784 4.41311
-31.00 -5.35495 4.29017
-30.00 -5.17354 4.1454
-29.00 -5.04005 3.97432
-28.00 -4.8855 3.81898
-27.00 -4.62499 3.71254
-26.00 -4.5385 3.54638
-25.00 -4.28784 3.45253
-24.00 -4.19968 3.27678
-23.00 -4.08539 3.10268
-22.00 -4.03801 2.91973
-21.00 -3.62319 2.83909
-20.00 -3.56694 2.65319
-19.00 -3.5703 2.45026
-18.00 -3.58261 2.24931
-17.00 -3.60276 2.03173
-16.00 -3.68037 1.8342
-15.00 -3.76856 1.64069
-14.00 -3.8653 1.45066
-13.00 -3.97829 1.27635
-12.00 -4.08363 1.10792
-11.00 -4.15491 0.96553
-10.00 -4.303 0.82286
-9.00 -3.6908 0.92696
-8.00 -3.15138 0.94519
-7.00 -3.20361 0.90567
-6.00 -3.38692 0.83612
-5.00 -3.50774 0.79935
-4.00 -3.12461 0.849
-3.00 -3.27451 0.80004
-2.00 -3.33034 0.77157
-1.00 -3.32305 0.70105
0.00 -3.26631 0.55054
1.00 -3.08705 0.42428
2.00 -3.08167 0.33723
3.00 -3.16562 0.30738
4.00 -3.39131 0.28384
5.00 -3.70337 0.30867
6.00 -3.88177 0.31666
7.00 -4.13338 0.33653
8.00 -4.23636 0.16715
9.00 -4.28883 0.06655
10.00 -4.28998 -0.03056
11.00 -4.37323 -0.43004
12.00 -4.57317 -0.23591
13.00 -4.82593 0.01648
14.00 -5.02827 0.27573
15.00 -5.1106 0.5076
16.00 -4.96962 0.63068
17.00 -4.89709 0.82538
18.00 -5.02868 1.14908
19.00 -5.196 1.51414
20.00 -5.0647 1.76278
21.00 -5.01861 2.01103
22.00 -4.99534 2.11624
23.00 -4.86225 2.25645
24.00 -4.70172 2.56985
25.00 -4.43092 2.89804
26.00 -4.28089 3.03419
27.00 -4.19884 3.26222
28.00 -4.18034 3.62253
29.00 -4.15717 4.0029
30.00 -4.07204 4.32855
31.00 -3.94617 4.64675
32.00 -3.81138 4.94741
33.00 -3.71722 5.19131
34.00 -3.60646 5.52644
35.00 -3.49294 5.78329
36.00 -3.30914 6.21746
37.00 -3.19154 6.58954
38.00 -3.64024 6.43301
39.00 -3.68971 6.8969
40.00 -3.70693 7.3016
41.00 -3.67731 7.79883
42.00 -3.50735 8.32657
43.00 -3.7067 8.54898
44.00 -4.33922 8.58914
45.00 -4.74626 8.8526
46.00 -4.64786 9.36698
47.00 -4.65633 9.79639
48.00 -4.68548 10.0812
49.00 -5.01957 10.6762
50.00 -4.91838 11.3362
51.00 -5.02712 11.6956
52.00 -5.02517 11.9468
53.00 -4.7929 12.1332
54.00 -4.64048 12.6725
55.00 -4.14524 13.031
56.00 -3.60275 13.393
57.00 -2.75957 13.502
58.00 -1.74381 13.4241
59.00 -1.09384 13.5812
60.00 -0.49952 13.7757
61.00 0.11849 13.9609
62.00 1.06085 13.8582
63.00 2.10017 13.8372
64.00 2.9041 13.9637
65.00 3.38551 14.2225
66.00 3.9532 14.3547
67.00 4.40599 14.5939
68.00 4.70025 14.699
69.00 5.27802 14.7258
70.00 5.87586 14.7679
71.00 6.50194 14.7326
72.00 7.13551 14.6339
73.00 7.66106 14.6404
74.00 8.15854 14.6376
75.00 8.68411 14.5595
76.00 9.21205 14.416
77.00 9.73959 14.2438
78.00 10.2114 14.1134
79.00 10.6518 14.0166
80.00 11.1362 13.8271
81.00 11.615 13.6121
82.00 12.0095 13.4899
83.00 12.4247 13.3067
84.00 12.8095 13.1564
85.00 13.1718 12.9906
86.00 13.5251 12.8144
87.00 13.8596 12.6279
88.00 14.185 12.4211
89.00 14.5015 12.214
90.00 14.8091 11.9865
