         -90     -7.8275      3.0554
         -89     -7.7781      3.3632
         -88     -7.7109      3.6662
         -87     -7.6263      3.9633
         -86     -7.5244      4.2538
         -85     -7.4057      4.5368
         -84     -7.2705      4.8114
         -83     -7.1192      5.0768
         -82     -6.9523      5.3323
         -81     -6.7703       5.577
         -80     -6.5738      5.8102
         -79     -6.3633      6.0313
         -78     -6.1395      6.2394
         -77      -5.903      6.4341
         -76     -5.6546      6.6146
         -75     -5.3949      6.7804
         -74     -5.1247       6.931
         -73     -4.8448      7.0658
         -72     -4.5561      7.1845
         -71     -4.2592      7.2867
         -70     -3.9552      7.3719
         -69     -3.6448      7.4398
         -68      -3.329      7.4902
         -67     -3.0086      7.5229
         -66     -2.6846      7.5377
         -65     -2.3578      7.5344
         -64     -2.0293       7.513
         -63     -1.6999      7.4735
         -62     -1.3706      7.4158
         -61     -1.0422      7.3401
         -60    -0.71578      7.2465
         -59     -0.3922       7.135
         -58   -0.072354      7.0061
         -57     0.24284      6.8598
         -56     0.55252      6.6966
         -55      0.8558      6.5167
         -54      1.1518      6.3206
         -53      1.4398      6.1088
         -52      1.7189      5.8816
         -51      1.9884      5.6397
         -50      2.2475      5.3835
         -49      2.4954      5.1138
         -48      2.7316      4.8312
         -47      2.9553      4.5362
         -46       3.166      4.2298
         -45       3.363      3.9125
         -44      3.5458      3.5852
         -43      3.7139      3.2486
         -42      3.8669      2.9037
         -41      4.0043      2.5511
         -40      4.1258      2.1919
         -39       4.231      1.8269
         -38      4.3196       1.457
         -37      4.3915      1.0831
         -36      4.4465     0.70616
         -35      4.4843      0.3271
         -34       4.505   -0.053146
         -33      4.5084    -0.43362
         -32      4.4946    -0.81337
         -31      4.4637     -1.1915
         -30      4.4157      -1.567
         -29      4.3507     -1.9389
         -28      4.2691     -2.3064
         -27       4.171     -2.6686
         -26      4.0568     -3.0245
         -25      3.9267     -3.3732
         -24      3.7812     -3.7139
         -23      3.6207     -4.0458
         -22      3.4456      -4.368
         -21      3.2566     -4.6798
         -20       3.054     -4.9803
         -19      2.8386     -5.2689
         -18       2.611     -5.5449
         -17      2.3717     -5.8076
         -16      2.1215     -6.0563
         -15      1.8612     -6.2905
         -14      1.5915     -6.5096
         -13      1.3131     -6.7131
         -12       1.027     -6.9006
         -11     0.73381     -7.0716
         -10     0.43452     -7.2257
          -9     0.12995     -7.3626
          -8    -0.17899      -7.482
          -7    -0.49142     -7.5837
          -6    -0.80642     -7.6674
          -5     -1.1231     -7.7331
          -4     -1.4405     -7.7806
          -3     -1.7577     -7.8098
          -2     -2.0738     -7.8209
          -1     -2.3878     -7.8137
           0     -2.6989     -7.7885
           1     -3.0061     -7.7453
           2     -3.3085     -7.6844
           3     -3.6052      -7.606
           4     -3.8954     -7.5104
           5     -4.1782      -7.398
           6     -4.4528      -7.269
           7     -4.7182      -7.124
           8     -4.9738     -6.9633
           9     -5.2188     -6.7876
          10     -5.4524     -6.5973
          11     -5.6739      -6.393
          12     -5.8826     -6.1755
          13     -6.0779     -5.9452
          14     -6.2592      -5.703
          15     -6.4259     -5.4495
          16     -6.5775     -5.1855
          17     -6.7135     -4.9118
          18     -6.8334     -4.6292
          19     -6.9369     -4.3385
          20     -7.0235     -4.0405
          21      -7.093     -3.7362
          22     -7.1451     -3.4264
          23     -7.1795      -3.112
          24     -7.1961      -2.794
          25     -7.1948     -2.4732
          26     -7.1755     -2.1506
          27     -7.1381      -1.827
          28     -7.0827     -1.5035
          29     -7.0094      -1.181
          30     -6.9182    -0.86029
          31     -6.8094    -0.54241
          32     -6.6831    -0.22823
          33     -6.5396    0.081355
          34     -6.3792     0.38546
          35     -6.2023     0.68323
          36     -6.0093     0.97381
          37     -5.8006      1.2564
          38     -5.5767      1.5301
          39     -5.3381      1.7943
          40     -5.0854      2.0482
          41     -4.8192      2.2909
          42     -4.5401       2.522
          43     -4.2489      2.7407
          44     -3.9462      2.9463
          45     -3.6328      3.1384
          46     -3.3095      3.3164
          47      -2.977      3.4797
          48     -2.6361       3.628
          49     -2.2878      3.7608
          50     -1.9329      3.8777
          51     -1.5723      3.9784
          52     -1.2068      4.0627
          53    -0.83742      4.1303
          54    -0.46508       4.181
          55   -0.090681      4.2146
          56     0.28482      4.2312
          57     0.66048      4.2306
          58      1.0354      4.2129
          59      1.4085      4.1781
          60       1.779      4.1264
          61      2.1459      4.0578
          62      2.5082      3.9726
          63      2.8652      3.8711
          64      3.2158      3.7534
          65      3.5592      3.6201
          66      3.8945      3.4714
          67       4.221      3.3077
          68      4.5377      3.1297
          69      4.8439      2.9377
          70      5.1389      2.7323
          71      5.4219      2.5142
          72      5.6922      2.2839
          73      5.9491      2.0421
          74       6.192      1.7896
          75      6.4204      1.5269
          76      6.6337       1.255
          77      6.8313     0.97453
          78      7.0129     0.68635
          79      7.1779     0.39128
          80       7.326    0.090181
          81      7.4569    -0.21608
          82      7.5702    -0.52662
          83      7.6658    -0.84053
          84      7.7435     -1.1569
          85       7.803     -1.4749
          86      7.8443     -1.7934
          87      7.8674     -2.1117
          88      7.8723     -2.4287
          89      7.8589     -2.7436
          90      7.8275     -3.0554
